user_id,country,age,signup_date,subscription_type,subscription_status,months_inactive,inactive_3_months_flag,ad_interaction,ad_conversion_to_subscription,music_suggestion_rating_1_to_5,avg_listening_hours_per_week,favorite_genre,most_liked_feature,desired_future_feature,primary_device,playlists_created,avg_skips_per_day
34,Italy,25,2021-11-02,Free,Active,1,0,No,No,3,2.88,Latin,Playlists,Mood-based Auto Playlists,Tablet,7,10
35,Brazil,42,2023-06-26,Free,Active,0,0,No,No,1,13.78,Rock,AI DJ,HiFi Audio,Mobile,7,8
36,Italy,58,2018-06-10,Free,Active,1,0,No,No,5,4.22,Jazz,Radio,HiFi Audio,Mobile,12,13
37,Italy,52,2018-11-14,Premium Individual,Active,0,0,Yes,No,3,17.59,Electronic,Radio,Concert Alerts,Mobile,13,12
38,Germany,37,2021-07-09,Free,Active,1,0,No,No,3,13.59,Bollywood,Discover Weekly,Mood-based Auto Playlists,Desktop,7,13
39,France,47,2025-10-18,Free,Active,1,0,Yes,No,3,8.95,Country,Discover Weekly,Mood-based Auto Playlists,Smart Speaker,4,12
40,Indonesia,45,2024-07-03,Premium Duo,Active,0,0,No,No,3,19.26,Pop,Playlists,Mood-based Auto Playlists,Desktop,14,10
41,India,21,2018-10-09,Premium Duo,Active,0,0,No,No,3,13.63,Classical,AI DJ,Better AI Recommendations,Mobile,6,9
42,USA,58,2021-01-10,Free,Active,2,0,Yes,No,5,14.33,R&B,Daily Mix,Mood-based Auto Playlists,Smart Speaker,8,10
43,India,19,2018-09-24,Premium Individual,Active,0,0,No,No,4,15.54,Classical,Daily Mix,HiFi Audio,Tablet,15,13
44,Canada,52,2025-11-13,Free,Active,0,0,Yes,No,5,9.82,Latin,Playlists,Lyrics Translation,Car System,12,9
45,France,44,2025-08-22,Premium Family,Active,2,0,No,No,3,5.46,Jazz,Radio,HiFi Audio,Tablet,9,10
46,Australia,58,2021-03-11,Premium Individual,Active,2,0,Yes,No,4,11.99,Latin,AI DJ,HiFi Audio,Car System,5,15
47,USA,17,2021-11-22,Premium Duo,Active,2,0,No,No,3,4.54,Pop,Daily Mix,HiFi Audio,Car System,4,12
48,USA,55,2023-03-07,Free,Active,2,0,Yes,No,5,13.35,Country,Offline Mode,Better AI Recommendations,Desktop,6,6
49,France,47,2019-04-25,Premium Individual,Active,0,0,No,No,4,11.82,Rock,Radio,Concert Alerts,Tablet,7,7
50,Italy,29,2018-08-30,Free,Active,1,0,No,No,2,14.51,Hip-Hop,AI DJ,Lyrics Translation,Mobile,8,6
51,India,24,2021-03-23,Premium Duo,Active,1,0,No,No,4,1.83,Electronic,Lyrics,Social Listening,Smart Speaker,8,11
52,Spain,41,2020-10-11,Free,Active,0,0,No,No,5,6.35,Indie,Offline Mode,Better AI Recommendations,Tablet,11,9
53,Canada,47,2022-05-21,Student,Active,1,0,No,No,3,9.26,R&B,Offline Mode,HiFi Audio,Tablet,9,6
54,Canada,41,2018-11-27,Free,Active,0,0,Yes,Yes,1,13.71,Country,Radio,Mood-based Auto Playlists,Smart Speaker,5,13
55,UK,33,2024-02-29,Premium Individual,Active,0,0,No,No,5,12.88,Hip-Hop,Discover Weekly,Social Listening,Desktop,6,8
56,Spain,43,2019-07-15,Premium Individual,Active,0,0,No,No,5,16.34,Rock,AI DJ,Concert Alerts,Smart Speaker,12,9
57,USA,42,2024-03-03,Free,Active,1,0,Yes,No,5,13.08,K-Pop,Radio,HiFi Audio,Tablet,5,12
58,Australia,59,2022-01-09,Premium Individual,Inactive,4,1,No,No,5,17.53,R&B,Daily Mix,Better AI Recommendations,Tablet,12,9
59,India,30,2022-04-08,Free,Active,3,1,No,No,4,6.3,Indie,Discover Weekly,Lyrics Translation,Car System,12,10
60,Brazil,25,2019-09-11,Premium Individual,Active,3,1,Yes,Yes,1,13.55,K-Pop,Radio,Lyrics Translation,Smart Speaker,7,15
61,UK,58,2020-08-08,Free,Active,1,0,No,No,2,13.83,Rock,Lyrics,HiFi Audio,Mobile,6,13
62,Germany,16,2020-08-13,Free,Active,0,0,No,No,4,4.3,Latin,Radio,HiFi Audio,Mobile,7,17
63,Spain,27,2023-06-10,Premium Individual,Active,0,0,Yes,No,5,7.08,Rock,Discover Weekly,Better AI Recommendations,Car System,4,8
64,Australia,34,2020-12-12,Premium Duo,Active,1,0,No,No,4,9.55,R&B,Playlists,HiFi Audio,Tablet,9,13
65,Italy,25,2018-01-17,Free,Active,0,0,No,No,5,10.08,Indie,Discover Weekly,Mood-based Auto Playlists,Desktop,7,17
66,Spain,50,2022-09-13,Free,Active,0,0,No,No,3,9.32,R&B,Daily Mix,Better AI Recommendations,Smart Speaker,9,18
67,India,55,2022-02-21,Premium Individual,Active,1,0,No,No,4,10.57,Electronic,Podcasts,Better AI Recommendations,Smart Speaker,5,9
68,India,24,2024-05-08,Premium Individual,Active,0,0,Yes,No,3,16.48,R&B,Playlists,Mood-based Auto Playlists,Desktop,8,5
69,Indonesia,48,2025-09-29,Free,Active,1,0,No,No,4,6.86,Pop,Podcasts,Concert Alerts,Tablet,11,7
70,Spain,19,2024-12-04,Premium Duo,Active,1,0,Yes,No,3,10.28,Jazz,Radio,Lyrics Translation,Tablet,9,12
71,USA,59,2023-02-14,Free,Active,1,0,Yes,No,5,14.61,Electronic,AI DJ,Social Listening,Car System,7,12
72,Indonesia,41,2024-04-09,Free,Active,2,0,No,No,5,14.86,Country,Lyrics,Concert Alerts,Car System,8,10
73,Canada,41,2022-06-19,Free,Active,0,0,No,No,3,14.6,K-Pop,Radio,Lyrics Translation,Smart Speaker,13,8
74,Canada,22,2022-06-03,Premium Individual,Inactive,3,1,No,No,2,12.64,Bollywood,Offline Mode,Better AI Recommendations,Smart Speaker,4,8
75,USA,56,2023-05-27,Free,Active,0,0,No,No,4,2.75,Indie,Radio,HiFi Audio,Desktop,17,7
76,USA,19,2022-06-29,Free,Active,1,0,No,No,2,8.78,Bollywood,Lyrics,HiFi Audio,Mobile,4,2
77,Mexico,20,2020-02-20,Premium Individual,Active,2,0,No,No,5,10.24,Country,Lyrics,Concert Alerts,Tablet,5,10
78,Spain,44,2020-05-05,Free,Active,1,0,No,No,3,5.65,Pop,AI DJ,Concert Alerts,Car System,5,11
79,India,54,2019-10-27,Student,Active,0,0,Yes,Yes,5,7.64,Country,Daily Mix,Social Listening,Mobile,11,9
80,Germany,52,2018-08-04,Free,Inactive,6,1,Yes,Yes,3,13.45,Hip-Hop,Lyrics,Concert Alerts,Desktop,12,7
81,USA,50,2019-09-12,Premium Individual,Active,2,0,No,No,1,13.39,Country,Playlists,Mood-based Auto Playlists,Tablet,5,5
82,UK,39,2019-02-20,Free,Active,0,0,No,No,3,3.91,Latin,Discover Weekly,Mood-based Auto Playlists,Car System,10,6
83,UK,29,2024-11-18,Free,Active,2,0,Yes,Yes,3,11.45,K-Pop,Offline Mode,Better AI Recommendations,Mobile,6,7
84,Italy,40,2024-11-20,Free,Active,0,0,No,No,3,11.04,Electronic,Daily Mix,Social Listening,Mobile,4,14
85,Indonesia,56,2019-09-01,Free,Active,1,0,No,No,3,13.03,Latin,Daily Mix,Concert Alerts,Tablet,4,8
86,Indonesia,54,2020-10-30,Free,Active,0,0,Yes,No,5,13.42,Country,Playlists,Better AI Recommendations,Smart Speaker,6,11
87,India,23,2022-01-31,Premium Individual,Inactive,6,1,Yes,No,5,12.9,Latin,Playlists,Lyrics Translation,Tablet,13,10
88,Canada,45,2023-06-23,Free,Active,1,0,Yes,No,4,9.85,Jazz,AI DJ,HiFi Audio,Tablet,10,12
89,Germany,46,2023-05-22,Premium Family,Active,1,0,No,No,3,0.0,Indie,Radio,Mood-based Auto Playlists,Car System,12,11
90,Spain,21,2021-07-01,Premium Individual,Active,1,0,No,No,4,3.86,R&B,Playlists,Mood-based Auto Playlists,Mobile,9,4
91,Australia,22,2019-08-14,Free,Inactive,4,1,No,No,5,3.08,Bollywood,Radio,Mood-based Auto Playlists,Tablet,11,7
92,UK,32,2021-11-04,Premium Individual,Active,4,1,No,No,5,11.29,Jazz,Podcasts,Concert Alerts,Smart Speaker,7,8
93,Mexico,26,2023-05-15,Free,Active,2,0,Yes,No,3,9.46,Latin,Radio,HiFi Audio,Mobile,14,10
94,France,17,2023-10-16,Free,Active,1,0,No,No,5,10.25,Pop,AI DJ,Social Listening,Car System,7,19
95,Indonesia,49,2020-04-20,Premium Individual,Active,0,0,No,No,5,7.75,K-Pop,Offline Mode,Social Listening,Car System,6,5
96,USA,25,2022-01-21,Free,Active,1,0,No,No,5,15.23,Rock,Lyrics,Better AI Recommendations,Car System,8,11
97,Canada,50,2025-09-27,Free,Active,2,0,No,No,4,11.64,Jazz,Lyrics,Mood-based Auto Playlists,Smart Speaker,10,10
98,Germany,35,2018-04-21,Free,Active,0,0,Yes,No,2,7.32,Jazz,AI DJ,Better AI Recommendations,Car System,5,9
99,Canada,60,2025-03-18,Premium Individual,Active,0,0,Yes,No,5,11.56,Indie,Radio,Social Listening,Car System,5,14
100,France,26,2020-12-05,Free,Active,0,0,Yes,No,4,11.35,Bollywood,Radio,HiFi Audio,Tablet,5,11
101,Germany,30,2021-12-27,Premium Individual,Active,0,0,No,No,1,8.91,Electronic,Podcasts,Mood-based Auto Playlists,Mobile,9,7
102,Australia,50,2023-12-22,Premium Individual,Active,2,0,No,No,3,8.99,Pop,Lyrics,HiFi Audio,Tablet,9,14
103,Indonesia,37,2023-08-22,Student,Active,1,0,No,No,4,13.02,Classical,Discover Weekly,Better AI Recommendations,Tablet,11,16
104,Australia,28,2025-02-19,Free,Inactive,3,1,Yes,Yes,4,5.22,Jazz,Podcasts,Social Listening,Tablet,10,14
105,UK,30,2020-09-07,Premium Individual,Active,6,1,Yes,No,3,10.85,Bollywood,Podcasts,Better AI Recommendations,Smart Speaker,5,6
106,Mexico,49,2020-03-29,Free,Active,0,0,No,No,5,15.13,Latin,Discover Weekly,Social Listening,Smart Speaker,7,10
107,France,38,2023-07-12,Free,Active,1,0,No,No,4,6.17,R&B,Lyrics,Mood-based Auto Playlists,Mobile,11,16
108,Spain,17,2018-04-29,Premium Duo,Active,4,1,No,No,3,8.72,Indie,Daily Mix,Better AI Recommendations,Tablet,5,7
109,India,46,2021-02-18,Premium Individual,Active,0,0,No,No,4,12.31,Country,Playlists,Concert Alerts,Tablet,6,11
110,Germany,28,2020-11-27,Premium Individual,Active,1,0,No,No,3,10.13,K-Pop,Lyrics,Mood-based Auto Playlists,Car System,10,14
111,Indonesia,54,2025-10-07,Premium Family,Active,2,0,No,No,5,6.89,Rock,Lyrics,HiFi Audio,Smart Speaker,8,12
112,UK,38,2021-11-11,Premium Individual,Active,0,0,Yes,No,1,4.38,Indie,Radio,HiFi Audio,Smart Speaker,8,17
113,Spain,21,2022-02-02,Premium Duo,Active,0,0,No,No,4,9.47,Classical,Daily Mix,Lyrics Translation,Tablet,10,13
114,Spain,46,2020-06-22,Premium Individual,Active,2,0,Yes,Yes,2,6.16,Hip-Hop,Playlists,Social Listening,Smart Speaker,4,16
115,Germany,37,2020-03-16,Premium Individual,Active,2,0,No,No,5,5.57,Latin,Playlists,Lyrics Translation,Desktop,12,9
116,Indonesia,46,2020-04-17,Premium Family,Inactive,6,1,No,No,4,5.22,Bollywood,Discover Weekly,Lyrics Translation,Mobile,12,7
117,Canada,55,2024-12-31,Premium Individual,Active,0,0,Yes,No,2,2.72,K-Pop,Lyrics,Mood-based Auto Playlists,Tablet,8,13
118,Italy,57,2018-01-08,Free,Active,1,0,Yes,No,3,11.83,Electronic,Playlists,Concert Alerts,Smart Speaker,6,9
119,Spain,21,2021-11-10,Free,Active,2,0,Yes,No,4,5.59,Jazz,Offline Mode,Concert Alerts,Tablet,10,9
120,Italy,23,2025-05-29,Free,Active,3,1,No,No,4,9.36,Classical,Radio,Better AI Recommendations,Tablet,10,14
121,Mexico,28,2022-05-11,Free,Active,0,0,No,No,5,8.36,Country,Podcasts,Social Listening,Smart Speaker,4,9
122,Germany,27,2023-05-13,Premium Individual,Active,1,0,No,No,3,4.56,Bollywood,Radio,Lyrics Translation,Mobile,8,8
123,France,56,2022-11-13,Free,Active,0,0,No,No,2,9.23,Latin,Radio,Lyrics Translation,Car System,6,16
124,Italy,21,2021-09-23,Free,Active,2,0,No,No,3,15.59,K-Pop,Offline Mode,Concert Alerts,Smart Speaker,6,11
125,France,41,2026-02-04,Premium Individual,Active,2,0,Yes,No,4,4.87,R&B,Radio,Lyrics Translation,Car System,13,7
126,USA,26,2018-12-14,Premium Duo,Active,1,0,Yes,No,4,13.69,R&B,Lyrics,Lyrics Translation,Tablet,7,5
127,USA,17,2019-06-05,Student,Active,1,0,No,No,3,10.71,Hip-Hop,Daily Mix,Lyrics Translation,Tablet,4,10
128,Canada,53,2019-09-12,Free,Active,0,0,No,No,3,6.05,Bollywood,Podcasts,HiFi Audio,Car System,8,12
129,Germany,57,2023-03-22,Free,Active,0,0,No,No,5,12.18,R&B,Discover Weekly,HiFi Audio,Mobile,9,10
130,Italy,54,2019-08-22,Free,Active,0,0,Yes,No,1,13.8,K-Pop,Offline Mode,Concert Alerts,Car System,17,3
131,Spain,38,2023-04-27,Premium Individual,Active,1,0,Yes,No,4,10.57,K-Pop,Daily Mix,Social Listening,Tablet,8,5
132,USA,51,2019-10-01,Premium Individual,Active,2,0,No,No,4,17.55,R&B,Discover Weekly,Social Listening,Smart Speaker,10,10
133,Brazil,16,2024-02-24,Premium Family,Active,2,0,Yes,Yes,3,13.21,Indie,Radio,Mood-based Auto Playlists,Desktop,13,5
134,India,57,2026-02-23,Premium Duo,Active,1,0,No,No,3,8.38,K-Pop,Offline Mode,HiFi Audio,Smart Speaker,8,8
135,India,49,2019-02-25,Premium Individual,Active,1,0,No,No,2,16.47,Country,Podcasts,Lyrics Translation,Car System,5,10
136,UK,43,2019-07-25,Premium Individual,Active,0,0,No,No,5,12.74,Bollywood,Radio,Concert Alerts,Desktop,8,12
137,Brazil,29,2020-03-08,Free,Active,1,0,No,No,3,14.28,Indie,AI DJ,Lyrics Translation,Car System,10,6
138,Germany,32,2018-04-25,Premium Individual,Active,2,0,No,No,5,10.25,Pop,Playlists,Mood-based Auto Playlists,Car System,14,8
139,Germany,31,2020-05-21,Student,Active,1,0,Yes,No,2,12.43,Latin,Daily Mix,Social Listening,Mobile,6,8
140,USA,50,2024-07-30,Premium Individual,Active,2,0,Yes,No,4,7.39,K-Pop,AI DJ,HiFi Audio,Mobile,6,12
141,Canada,24,2022-09-13,Student,Active,1,0,No,No,4,4.39,Latin,Daily Mix,Better AI Recommendations,Tablet,6,9
142,Brazil,38,2018-09-07,Student,Active,0,0,Yes,No,4,11.37,Pop,Offline Mode,Lyrics Translation,Smart Speaker,14,9
143,UK,49,2023-02-20,Free,Active,2,0,Yes,No,4,9.26,Electronic,Lyrics,Better AI Recommendations,Smart Speaker,7,3
144,Australia,48,2022-09-19,Free,Active,2,0,No,No,4,10.12,Classical,Radio,Concert Alerts,Car System,8,5
145,Brazil,50,2019-06-20,Premium Individual,Active,1,0,No,No,5,10.04,Classical,Discover Weekly,Social Listening,Smart Speaker,11,10
146,India,49,2019-09-14,Free,Inactive,3,1,No,No,3,5.15,Country,Daily Mix,HiFi Audio,Mobile,8,7
147,France,17,2023-09-23,Premium Individual,Active,0,0,No,No,4,8.49,Rock,Playlists,HiFi Audio,Smart Speaker,7,11
148,Brazil,27,2022-12-08,Premium Duo,Active,2,0,No,No,3,11.14,Electronic,AI DJ,HiFi Audio,Desktop,6,7
149,France,16,2024-10-28,Free,Active,1,0,No,No,2,6.96,Pop,Offline Mode,Social Listening,Car System,10,8
150,Mexico,27,2019-09-06,Premium Individual,Active,2,0,No,No,4,8.07,R&B,Offline Mode,HiFi Audio,Smart Speaker,11,16
151,India,46,2019-08-03,Premium Family,Active,0,0,No,No,4,14.44,K-Pop,AI DJ,Better AI Recommendations,Smart Speaker,12,9
152,USA,51,2024-12-10,Free,Inactive,3,1,Yes,No,5,6.06,Pop,AI DJ,Lyrics Translation,Tablet,6,13
153,Italy,36,2018-09-10,Free,Active,0,0,No,No,5,9.23,K-Pop,Playlists,Lyrics Translation,Tablet,12,13
154,Australia,51,2025-08-26,Premium Individual,Active,5,1,Yes,No,5,11.79,Jazz,Offline Mode,Mood-based Auto Playlists,Mobile,9,7
155,Germany,22,2023-05-31,Free,Inactive,3,1,Yes,No,1,5.53,Bollywood,Podcasts,Social Listening,Car System,8,12
156,Germany,19,2024-04-13,Student,Inactive,3,1,No,No,4,4.97,Latin,AI DJ,HiFi Audio,Mobile,16,11
157,Italy,28,2020-10-14,Premium Individual,Active,2,0,No,No,4,5.18,Indie,Discover Weekly,Better AI Recommendations,Mobile,11,9
158,Spain,18,2021-02-08,Premium Individual,Inactive,4,1,No,No,5,6.41,K-Pop,Radio,Concert Alerts,Desktop,7,13
159,France,48,2019-02-05,Free,Active,0,0,No,No,4,8.15,Electronic,AI DJ,Better AI Recommendations,Mobile,5,11
160,Australia,51,2023-01-27,Premium Family,Active,0,0,No,No,3,15.35,Hip-Hop,AI DJ,Social Listening,Mobile,3,7
161,Canada,20,2018-04-25,Premium Individual,Active,0,0,Yes,No,3,15.11,Electronic,Discover Weekly,Lyrics Translation,Tablet,8,10
162,Australia,48,2022-12-21,Premium Family,Active,1,0,Yes,No,4,14.53,Hip-Hop,Discover Weekly,Lyrics Translation,Mobile,9,8
163,Spain,48,2024-10-18,Premium Individual,Inactive,5,1,No,No,4,18.15,Bollywood,AI DJ,Mood-based Auto Playlists,Car System,7,12
164,Canada,60,2020-03-27,Premium Family,Active,0,0,No,No,4,7.45,K-Pop,AI DJ,Social Listening,Car System,9,12
165,Australia,50,2021-02-09,Premium Individual,Active,0,0,Yes,No,5,6.9,R&B,Lyrics,HiFi Audio,Smart Speaker,4,13
166,Germany,48,2023-05-13,Free,Active,0,0,No,No,4,12.21,Jazz,Daily Mix,Social Listening,Car System,9,9
167,Germany,60,2020-10-11,Student,Active,1,0,No,No,4,13.01,R&B,AI DJ,Lyrics Translation,Tablet,7,11
168,France,32,2023-11-14,Premium Individual,Active,1,0,Yes,No,4,6.78,K-Pop,Playlists,Mood-based Auto Playlists,Smart Speaker,9,13
169,USA,28,2024-04-10,Free,Active,0,0,No,No,5,15.2,Jazz,AI DJ,Lyrics Translation,Desktop,4,11
170,Italy,23,2023-01-08,Free,Active,0,0,Yes,Yes,2,10.18,R&B,Radio,Social Listening,Car System,10,10
171,Brazil,20,2022-05-27,Premium Individual,Active,1,0,Yes,No,3,8.8,Hip-Hop,Daily Mix,Mood-based Auto Playlists,Car System,8,4
172,Spain,20,2025-07-12,Free,Active,2,0,Yes,Yes,1,3.11,Latin,Daily Mix,Social Listening,Smart Speaker,6,12
173,India,58,2020-05-21,Premium Individual,Active,0,0,No,No,5,9.82,Indie,AI DJ,Lyrics Translation,Car System,7,9
174,Canada,25,2021-05-25,Student,Active,0,0,Yes,No,4,13.9,Electronic,Offline Mode,Social Listening,Smart Speaker,10,9
175,Canada,39,2026-01-12,Student,Active,0,0,Yes,No,4,8.44,R&B,AI DJ,Social Listening,Car System,7,8
176,Mexico,32,2019-08-09,Premium Duo,Active,0,0,No,No,5,15.16,Pop,Radio,HiFi Audio,Smart Speaker,4,11
177,Spain,45,2019-07-17,Premium Family,Active,0,0,No,No,3,8.39,Jazz,Radio,Better AI Recommendations,Desktop,15,8
178,France,22,2020-06-18,Free,Active,1,0,Yes,No,3,4.53,Indie,AI DJ,Lyrics Translation,Desktop,11,6
179,UK,47,2022-06-20,Free,Active,0,0,No,No,4,11.26,K-Pop,Discover Weekly,Mood-based Auto Playlists,Car System,7,12
180,Germany,30,2019-10-29,Premium Individual,Active,0,0,Yes,No,3,12.2,K-Pop,Discover Weekly,Social Listening,Car System,12,12
181,France,48,2019-10-24,Premium Duo,Active,0,0,Yes,No,2,18.15,Pop,AI DJ,Social Listening,Mobile,8,8
182,Brazil,37,2022-07-13,Premium Individual,Active,4,1,No,No,2,13.28,Electronic,Daily Mix,Mood-based Auto Playlists,Mobile,5,11
183,Spain,36,2022-09-22,Free,Active,0,0,Yes,Yes,2,13.92,Classical,Radio,Lyrics Translation,Desktop,6,10
184,France,17,2019-01-13,Free,Active,2,0,Yes,No,5,6.61,Classical,Discover Weekly,HiFi Audio,Mobile,7,13
185,Canada,51,2021-10-16,Free,Active,0,0,No,No,3,12.86,Indie,AI DJ,Social Listening,Tablet,9,3
186,Canada,44,2023-02-22,Free,Active,0,0,No,No,4,0.71,Latin,Podcasts,Mood-based Auto Playlists,Smart Speaker,6,10
187,Indonesia,37,2025-11-20,Premium Individual,Inactive,5,1,Yes,Yes,3,9.04,R&B,Discover Weekly,Better AI Recommendations,Smart Speaker,7,9
188,India,55,2023-10-21,Free,Active,2,0,No,No,3,16.71,Bollywood,Discover Weekly,Mood-based Auto Playlists,Desktop,6,13
189,Indonesia,20,2021-04-25,Premium Individual,Active,0,0,Yes,No,4,9.74,Pop,Lyrics,Concert Alerts,Desktop,5,11
190,Spain,30,2019-04-08,Premium Family,Inactive,3,1,No,No,4,10.43,Electronic,Podcasts,Mood-based Auto Playlists,Car System,16,14
191,USA,21,2019-03-06,Premium Duo,Active,0,0,No,No,4,10.19,Latin,Offline Mode,Better AI Recommendations,Desktop,8,9
192,USA,33,2020-12-23,Premium Family,Active,1,0,No,No,2,7.66,Rock,Lyrics,HiFi Audio,Smart Speaker,12,5
193,Australia,27,2018-06-12,Free,Active,0,0,No,No,4,11.57,K-Pop,Daily Mix,Lyrics Translation,Tablet,12,8
194,Brazil,43,2021-01-12,Premium Family,Active,1,0,Yes,No,3,18.22,Latin,Discover Weekly,Social Listening,Desktop,7,9
195,Brazil,32,2025-07-31,Premium Family,Active,2,0,Yes,No,3,7.56,Indie,Daily Mix,Social Listening,Mobile,9,9
196,USA,25,2022-07-21,Free,Inactive,4,1,No,No,5,7.55,Rock,Radio,HiFi Audio,Mobile,6,8
197,India,48,2024-01-07,Free,Active,1,0,No,No,4,8.01,Hip-Hop,Playlists,Mood-based Auto Playlists,Car System,7,13
198,Canada,36,2024-05-26,Premium Individual,Active,0,0,Yes,No,2,8.23,Pop,Discover Weekly,Mood-based Auto Playlists,Smart Speaker,8,6
199,Australia,33,2019-01-02,Student,Active,0,0,No,No,5,12.41,Electronic,Podcasts,Lyrics Translation,Car System,3,10
200,Indonesia,60,2018-08-24,Premium Family,Inactive,6,1,No,No,5,8.37,Country,Discover Weekly,Better AI Recommendations,Mobile,7,14
201,Canada,43,2020-01-21,Free,Active,1,0,No,No,4,14.37,Hip-Hop,Lyrics,Better AI Recommendations,Tablet,6,6
202,Germany,17,2018-10-24,Student,Active,2,0,Yes,No,4,6.46,R&B,Radio,Concert Alerts,Car System,8,10
203,USA,21,2025-02-11,Premium Individual,Active,0,0,No,No,4,6.89,Indie,Radio,Lyrics Translation,Mobile,13,13
204,India,21,2020-12-03,Free,Active,2,0,No,No,5,14.83,Indie,Daily Mix,Lyrics Translation,Car System,8,17
205,Canada,30,2024-10-27,Free,Active,2,0,No,No,1,6.84,Pop,Podcasts,Better AI Recommendations,Smart Speaker,11,10
